"","date","dc","wday","month","year","week","summer"
"262",2016-09-18,0,"Sun","9",2016,"38","winter"
"263",2016-09-19,1,"Mon","9",2016,"38","winter"
"264",2016-09-20,0,"Tue","9",2016,"38","winter"
"265",2016-09-21,1,"Wed","9",2016,"38","winter"
"266",2016-09-22,0,"Thu","9",2016,"38","winter"
"267",2016-09-23,1,"Fri","9",2016,"39","winter"
"268",2016-09-24,1,"Sat","9",2016,"39","winter"
"269",2016-09-25,0,"Sun","9",2016,"39","winter"
"270",2016-09-26,2,"Mon","9",2016,"39","winter"
"271",2016-09-27,0,"Tue","9",2016,"39","winter"
"272",2016-09-28,0,"Wed","9",2016,"39","winter"
"273",2016-09-29,0,"Thu","9",2016,"39","winter"
"274",2016-09-30,2,"Fri","9",2016,"40","winter"
"275",2016-10-01,1,"Sat","10",2016,"40","winter"
"276",2016-10-02,0,"Sun","10",2016,"40","winter"
"277",2016-10-03,0,"Mon","10",2016,"40","winter"
"278",2016-10-04,1,"Tue","10",2016,"40","winter"
"279",2016-10-05,1,"Wed","10",2016,"40","winter"
"280",2016-10-06,0,"Thu","10",2016,"40","winter"
"281",2016-10-07,0,"Fri","10",2016,"41","winter"
"282",2016-10-08,0,"Sat","10",2016,"41","winter"
"283",2016-10-09,0,"Sun","10",2016,"41","winter"
"284",2016-10-10,0,"Mon","10",2016,"41","winter"
"285",2016-10-11,0,"Tue","10",2016,"41","winter"
"286",2016-10-12,0,"Wed","10",2016,"41","winter"
"287",2016-10-13,1,"Thu","10",2016,"41","winter"
"288",2016-10-14,0,"Fri","10",2016,"42","winter"
"289",2016-10-15,0,"Sat","10",2016,"42","winter"
"290",2016-10-16,0,"Sun","10",2016,"42","winter"
"291",2016-10-17,1,"Mon","10",2016,"42","winter"
"292",2016-10-18,1,"Tue","10",2016,"42","winter"
"293",2016-10-19,0,"Wed","10",2016,"42","winter"
"294",2016-10-20,1,"Thu","10",2016,"42","winter"
"295",2016-10-21,0,"Fri","10",2016,"43","winter"
"296",2016-10-22,0,"Sat","10",2016,"43","winter"
"297",2016-10-23,0,"Sun","10",2016,"43","winter"
"298",2016-10-24,0,"Mon","10",2016,"43","winter"
"299",2016-10-25,0,"Tue","10",2016,"43","winter"
"300",2016-10-26,0,"Wed","10",2016,"43","winter"
"301",2016-10-27,0,"Thu","10",2016,"43","winter"
"302",2016-10-28,0,"Fri","10",2016,"44","winter"
"303",2016-10-29,0,"Sat","10",2016,"44","winter"
"304",2016-10-30,0,"Sun","10",2016,"44","winter"
"305",2016-10-31,1,"Mon","10",2016,"44","winter"
"306",2016-11-01,0,"Tue","11",2016,"44","winter"
"307",2016-11-02,1,"Wed","11",2016,"44","winter"
"308",2016-11-03,0,"Thu","11",2016,"44","winter"
"309",2016-11-04,1,"Fri","11",2016,"45","winter"
"310",2016-11-05,2,"Sat","11",2016,"45","winter"
"311",2016-11-06,0,"Sun","11",2016,"45","winter"
"312",2016-11-07,0,"Mon","11",2016,"45","winter"
"313",2016-11-08,0,"Tue","11",2016,"45","winter"
"314",2016-11-09,0,"Wed","11",2016,"45","winter"
"315",2016-11-10,0,"Thu","11",2016,"45","winter"
"316",2016-11-11,0,"Fri","11",2016,"46","winter"
"317",2016-11-12,0,"Sat","11",2016,"46","winter"
"318",2016-11-13,0,"Sun","11",2016,"46","winter"
"319",2016-11-14,0,"Mon","11",2016,"46","winter"
"320",2016-11-15,1,"Tue","11",2016,"46","winter"
"321",2016-11-16,0,"Wed","11",2016,"46","winter"
"322",2016-11-17,0,"Thu","11",2016,"46","winter"
"323",2016-11-18,0,"Fri","11",2016,"47","winter"
"324",2016-11-19,0,"Sat","11",2016,"47","winter"
"325",2016-11-20,0,"Sun","11",2016,"47","winter"
